"Nazwa" "Osiagniecia_naukowe_i_tworcze" "Potencjal_naukowy" "Materialne_efekty_dzialalnosci_naukowej" "Pozostale_efekty_dzialalnosci_naukowej" "Ocena_ostateczna" "Kategoria" "nazwy"
"Uniwersytet Wroclawski; Wydzial Biotechnologii" "Uniwersytet Wroclawski; Wydzial Biotechnologii" 87.98 457 8.25 90 70.5 "+A" "Uniwersytet Wroclawski; Wydzial Biotechnologii"
"Instytut Paleobiologii im. Romana Kozlowskiego Polskiej Akademii Nauk" "Instytut Paleobiologii im. Romana Kozlowskiego Polskiej Akademii Nauk" 105.27 292 5.36 40 46.71 "A" "Instytut Paleobiologii im. Romana Kozlowskiego Polskiej Akademii Nauk"
"Instytut Chemii Bioorganicznej Polskiej Akademii Nauk" "Instytut Chemii Bioorganicznej Polskiej Akademii Nauk" 82.81 567 22.3 90 35.14 "A" "Instytut Chemii Bioorganicznej Polskiej Akademii Nauk"
"Muzeum i Instytut Zoologii Polskiej Akademii Nauk" "Muzeum i Instytut Zoologii Polskiej Akademii Nauk" 91.33 400 8.82 40 35.13 "A" "Muzeum i Instytut Zoologii Polskiej Akademii Nauk"
"Instytut Biologii Ssaków Polskiej Akademii Nauk" "Instytut Biologii Ssaków Polskiej Akademii Nauk" 89.52 311 6.51 25 23.17 "A" "Instytut Biologii Ssaków Polskiej Akademii Nauk"
"Instytut Systematyki i Ewolucji Zwierzat Polskiej Akademii Nauk" "Instytut Systematyki i Ewolucji Zwierzat Polskiej Akademii Nauk" 91.68 184 2.45 25 18.6 "A" "Instytut Systematyki i Ewolucji Zwierzat Polskiej Akademii Nauk"
"Instytut Ochrony Przyrody Polskiej Akademii Nauk" "Instytut Ochrony Przyrody Polskiej Akademii Nauk" 83.85 305 10.72 40 18.12 "A" "Instytut Ochrony Przyrody Polskiej Akademii Nauk"
"Instytut Immunologii i Terapii Doswiadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk" "Instytut Immunologii i Terapii Doswiadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk" 65.05 534 16.83 80 -14.78 "A" "Instytut Immunologii i Terapii Doswiadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk"
"Instytut Medycyny Doswiadczalnej i Klinicznej im. Miroslawa Mossakowskiego Polskiej Akademii Nauk" "Instytut Medycyny Doswiadczalnej i Klinicznej im. Miroslawa Mossakowskiego Polskiej Akademii Nauk" 70.86 562 6.99 70 -15.65 "A" "Instytut Medycyny Doswiadczalnej i Klinicznej im. Miroslawa Mossakowskiego Polskiej Akademii Nauk"
"Instytut Farmakologii Polskiej Akademii Nauk" "Instytut Farmakologii Polskiej Akademii Nauk" 66.48 414 18.41 60 -19.53 "A" "Instytut Farmakologii Polskiej Akademii Nauk"
"Instytut Botaniki im. Wladyslawa Szafera Polskiej Akademii Nauk" "Instytut Botaniki im. Wladyslawa Szafera Polskiej Akademii Nauk" 76.26 281 3.81 20 -20.84 "A" "Instytut Botaniki im. Wladyslawa Szafera Polskiej Akademii Nauk"
"Instytut Genetyki Czlowieka Polskiej Akademii Nauk" "Instytut Genetyki Czlowieka Polskiej Akademii Nauk" 68.73 390 4.61 75 -24.51 "A" "Instytut Genetyki Czlowieka Polskiej Akademii Nauk"
"Europejskie Regionalne Centrum Ekohydrologii" "Europejskie Regionalne Centrum Ekohydrologii" 66.28 235 3.74 20 -45.38 "B" "Europejskie Regionalne Centrum Ekohydrologii"
"Instytut Parazytologii im. Witolda Stefanskiego Polskiej Akademii Nauk" "Instytut Parazytologii im. Witolda Stefanskiego Polskiej Akademii Nauk" 65.23 155 1.03 15 -51.37 "B" "Instytut Parazytologii im. Witolda Stefanskiego Polskiej Akademii Nauk"
"Instytut Biologii Medycznej Polskiej Akademii Nauk" "Instytut Biologii Medycznej Polskiej Akademii Nauk" 51.48 323 12.68 25 -58.65 "B" "Instytut Biologii Medycznej Polskiej Akademii Nauk"
"Instytut Rozrodu Zwierzat i Badan Zywnosci Polskiej Akademii Nauk" "Instytut Rozrodu Zwierzat i Badan Zywnosci Polskiej Akademii Nauk" 82.9 626 11.47 46.5 65.21 "+A" "Instytut Rozrodu Zwierzat i Badan Zywnosci Polskiej Akademii Nauk"
"Instytut Agrofizyki im. Bohdana Dobrzanskiego Polskiej Akademii Nauk" "Instytut Agrofizyki im. Bohdana Dobrzanskiego Polskiej Akademii Nauk" 80.46 312 36.65 59 65.12 "A" "Instytut Agrofizyki im. Bohdana Dobrzanskiego Polskiej Akademii Nauk"
"Instytut Geofizyki Polskiej Akademii Nauk" "Instytut Geofizyki Polskiej Akademii Nauk" 76.12 280 8.43 43.5 40.57 "A" "Instytut Geofizyki Polskiej Akademii Nauk"
"Instytut Genetyki i Hodowli Zwierzat Polskiej Akademii Nauk" "Instytut Genetyki i Hodowli Zwierzat Polskiej Akademii Nauk" 70.14 468 23.12 51 38.47 "A" "Instytut Genetyki i Hodowli Zwierzat Polskiej Akademii Nauk"
"Instytut Dendrologii Polskiej Akademii Nauk" "Instytut Dendrologii Polskiej Akademii Nauk" 73.88 296 3.88 30.5 22.59 "A" "Instytut Dendrologii Polskiej Akademii Nauk"
"Instytut Oceanologii Polskiej Akademii Nauk" "Instytut Oceanologii Polskiej Akademii Nauk" 61.95 477 21.2 55 17.32 "A" "Instytut Oceanologii Polskiej Akademii Nauk"
"Instytut Nauk Geologicznych Polskiej Akademii Nauk" "Instytut Nauk Geologicznych Polskiej Akademii Nauk" 68.92 379 4.1 37.5 13.68 "A" "Instytut Nauk Geologicznych Polskiej Akademii Nauk"
"Instytut Fizjologii Roslin im. Franciszka Górskiego Polskiej Akademii Nauk" "Instytut Fizjologii Roslin im. Franciszka Górskiego Polskiej Akademii Nauk" 69.47 384 3.03 33.5 12.54 "A" "Instytut Fizjologii Roslin im. Franciszka Górskiego Polskiej Akademii Nauk"
"Instytut Genetyki Roslin Polskiej Akademii Nauk" "Instytut Genetyki Roslin Polskiej Akademii Nauk" 58.89 257 6.61 41.5 -8.32 "B" "Instytut Genetyki Roslin Polskiej Akademii Nauk"
"Instytut Fizjologii i Zywienia Zwierzat im. Jana Kielanowskiego Polskiej Akademii Nauk" "Instytut Fizjologii i Zywienia Zwierzat im. Jana Kielanowskiego Polskiej Akademii Nauk" 62.93 168 1.97 14 -19.22 "B" "Instytut Fizjologii i Zywienia Zwierzat im. Jana Kielanowskiego Polskiej Akademii Nauk"
"Instytut Srodowiska Rolniczego i Lesnego Polskiej Akademii Nauk" "Instytut Srodowiska Rolniczego i Lesnego Polskiej Akademii Nauk" 59.14 154 2.1 15.5 -27.89 "B" "Instytut Srodowiska Rolniczego i Lesnego Polskiej Akademii Nauk"
"Instytut Geografii i Przestrzennego Zagospodarowania im. Stanislawa Leszczyckiego Polskiej Akademii Nauk" "Instytut Geografii i Przestrzennego Zagospodarowania im. Stanislawa Leszczyckiego Polskiej Akademii Nauk" 32.14 370 5.54 38.5 -64.72 "B" "Instytut Geografii i Przestrzennego Zagospodarowania im. Stanislawa Leszczyckiego Polskiej Akademii Nauk"
"Instytut Podstaw Inzynierii Srodowiska Polskiej Akademii Nauk" "Instytut Podstaw Inzynierii Srodowiska Polskiej Akademii Nauk" 39.5 285 3.99 11.5 -77.67 "C" "Instytut Podstaw Inzynierii Srodowiska Polskiej Akademii Nauk"
"Instytut \"Pomnik - Centrum Zdrowia Dziecka\"" "Instytut \"Pomnik - Centrum Zdrowia Dziecka\"" 87.15 431 23 90 80.2 "+A" "Instytut \"Pomnik - Centrum Zdrowia Dziecka\""
"Instytut Fizjologii i Patologii Sluchu" "Instytut Fizjologii i Patologii Sluchu" 75.87 309 324.82 100 74.56 "+A" "Instytut Fizjologii i Patologii Sluchu"
"Wojskowy Instytut Medyczny" "Wojskowy Instytut Medyczny" 59.2 691 23.54 60 38.82 "A" "Wojskowy Instytut Medyczny"
"Instytut Psychiatrii i Neurologii" "Instytut Psychiatrii i Neurologii" 69.55 376 11.19 80 35.84 "A" "Instytut Psychiatrii i Neurologii"
"Centrum Onkologii - Instytut im. Marii Sklodowskiej-Curie" "Centrum Onkologii - Instytut im. Marii Sklodowskiej-Curie" 51.92 801 37.33 95 33.76 "A" "Centrum Onkologii - Instytut im. Marii Sklodowskiej-Curie"
"Instytut Medycyny Pracy im. prof. dr med. Jerzego Nofera" "Instytut Medycyny Pracy im. prof. dr med. Jerzego Nofera" 58.83 616 12.7 100 32.13 "A" "Instytut Medycyny Pracy im. prof. dr med. Jerzego Nofera"
"Instytut Medycyny Wsi im. Witolda Chodzki" "Instytut Medycyny Wsi im. Witolda Chodzki" 80.93 148 5.31 30 26.52 "A" "Instytut Medycyny Wsi im. Witolda Chodzki"
"Instytut Kardiologii im. Prymasa Tysiaclecia Stefana Kardynala Wyszynskiego" "Instytut Kardiologii im. Prymasa Tysiaclecia Stefana Kardynala Wyszynskiego" 66.9 426 9.28 65 24.64 "A" "Instytut Kardiologii im. Prymasa Tysiaclecia Stefana Kardynala Wyszynskiego"
"Instytut \"Centrum Zdrowia Matki Polki\"" "Instytut \"Centrum Zdrowia Matki Polki\"" 66.38 398 5.84 88 24.44 "A" "Instytut \"Centrum Zdrowia Matki Polki\""
"Instytut Hematologii i Transfuzjologii" "Instytut Hematologii i Transfuzjologii" 63.61 274 7.33 97.5 20.96 "B" "Instytut Hematologii i Transfuzjologii"
"Narodowy Instytut Leków" "Narodowy Instytut Leków" 62.37 230 4.13 100 13.91 "B" "Narodowy Instytut Leków"
"Instytut Matki i Dziecka" "Instytut Matki i Dziecka" 63.23 211 10.73 5 9.99 "B" "Instytut Matki i Dziecka"
"Wojskowy Instytut Medycyny Lotniczej" "Wojskowy Instytut Medycyny Lotniczej" 44.47 342 111.92 47.5 2.05 "B" "Wojskowy Instytut Medycyny Lotniczej"
"Instytut Gruzlicy i Chorób Pluc" "Instytut Gruzlicy i Chorób Pluc" 43.24 228 14.15 70 -17.09 "B" "Instytut Gruzlicy i Chorób Pluc"
"Instytut Farmaceutyczny" "Instytut Farmaceutyczny" 31.66 318 12.99 90 -28.46 "B" "Instytut Farmaceutyczny"
"Wojskowy Instytut Higieny i Epidemiologii im. gen. Karola Kaczkowskiego" "Wojskowy Instytut Higieny i Epidemiologii im. gen. Karola Kaczkowskiego" 36.8 308 8.65 72.5 -35.45 "B" "Wojskowy Instytut Higieny i Epidemiologii im. gen. Karola Kaczkowskiego"
"Narodowy Instytut Zdrowia Publicznego - Panstwowy Zaklad Higieny" "Narodowy Instytut Zdrowia Publicznego - Panstwowy Zaklad Higieny" 37.97 446 4.95 55 -40.45 "B" "Narodowy Instytut Zdrowia Publicznego - Panstwowy Zaklad Higieny"
"Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher" "Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher" 43.38 247 0.19 50 -45.75 "B" "Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher"
"Instytut Medycyny Pracy i Zdrowia Srodowiskowego" "Instytut Medycyny Pracy i Zdrowia Srodowiskowego" 32.78 128 5.79 70 -51.02 "B" "Instytut Medycyny Pracy i Zdrowia Srodowiskowego"
"Instytut Zywnosci i Zywienia im. prof. dra med. Aleksandra Szczygla" "Instytut Zywnosci i Zywienia im. prof. dra med. Aleksandra Szczygla" 29.04 150 4.7 90 -52.62 "B" "Instytut Zywnosci i Zywienia im. prof. dra med. Aleksandra Szczygla"
"Instytut Biotechnologii i Antybiotyków" "Instytut Biotechnologii i Antybiotyków" 21.23 254 16.07 0 -54.94 "C" "Instytut Biotechnologii i Antybiotyków"
"Instytut Sportu" "Instytut Sportu" 22.17 117 10.32 50 -62.47 "C" "Instytut Sportu"
"Panstwowy Instytut Weterynaryjny - Panstwowy Instytut Badawczy" "Panstwowy Instytut Weterynaryjny - Panstwowy Instytut Badawczy" 66.33 339 31.79 95 82.75 "A" "Panstwowy Instytut Weterynaryjny - Panstwowy Instytut Badawczy"
"Morski Instytut Rybacki - Panstwowy Instytut Badawczy" "Morski Instytut Rybacki - Panstwowy Instytut Badawczy" 44.42 284 42.18 65 61.61 "A" "Morski Instytut Rybacki - Panstwowy Instytut Badawczy"
"Instytut Zootechniki - Panstwowy Instytut Badawczy" "Instytut Zootechniki - Panstwowy Instytut Badawczy" 44.26 442 23.05 72.5 57.88 "A" "Instytut Zootechniki - Panstwowy Instytut Badawczy"
"Instytut Ogrodnictwa" "Instytut Ogrodnictwa" 38.9 392 16.85 79.5 34.65 "A" "Instytut Ogrodnictwa"
"Instytut Ochrony Srodowiska - Panstwowy Instytut Badawczy" "Instytut Ochrony Srodowiska - Panstwowy Instytut Badawczy" 32.17 178 48.46 77.5 26.1 "A" "Instytut Ochrony Srodowiska - Panstwowy Instytut Badawczy"
"Instytut Uprawy Nawozenia i Gleboznawstwa - Panstwowy Instytut Badawczy" "Instytut Uprawy Nawozenia i Gleboznawstwa - Panstwowy Instytut Badawczy" 35.59 545 12.46 60 9.12 "B" "Instytut Uprawy Nawozenia i Gleboznawstwa - Panstwowy Instytut Badawczy"
"Instytut Technologii Drewna" "Instytut Technologii Drewna" 31.78 328 15.73 75 4.92 "B" "Instytut Technologii Drewna"
"Instytut Rybactwa Sródladowego im. Stanislawa Sakowicza" "Instytut Rybactwa Sródladowego im. Stanislawa Sakowicza" 37.48 232 6.92 78 3.04 "B" "Instytut Rybactwa Sródladowego im. Stanislawa Sakowicza"
"Instytut Wlókien Naturalnych i Roslin Zielarskich" "Instytut Wlókien Naturalnych i Roslin Zielarskich" 33.18 341 9.81 67.5 -6.67 "B" "Instytut Wlókien Naturalnych i Roslin Zielarskich"
"Instytut Ochrony Roslin - Panstwowy Instytut Badawczy" "Instytut Ochrony Roslin - Panstwowy Instytut Badawczy" 30.34 441 10.21 86 -6.99 "B" "Instytut Ochrony Roslin - Panstwowy Instytut Badawczy"
"Instytut Hodowli i Aklimatyzacji Roslin - Panstwowy Instytut Badawczy" "Instytut Hodowli i Aklimatyzacji Roslin - Panstwowy Instytut Badawczy" 27.22 328 11.71 78 -21.72 "B" "Instytut Hodowli i Aklimatyzacji Roslin - Panstwowy Instytut Badawczy"
"Instytut Morski w Gdansku" "Instytut Morski w Gdansku" 13.73 278 40.77 72.5 -32.54 "B" "Instytut Morski w Gdansku"
"Instytut Technologiczno-Przyrodniczy" "Instytut Technologiczno-Przyrodniczy" 25.1 657 9.61 70 -32.55 "B" "Instytut Technologiczno-Przyrodniczy"
"Instytut Badawczy Lesnictwa" "Instytut Badawczy Lesnictwa" 21.61 472 12.49 75 -38.99 "B" "Instytut Badawczy Lesnictwa"
"Instytut Biotechnologii Przemyslu Rolno-Spozywczego" "Instytut Biotechnologii Przemyslu Rolno-Spozywczego" 24.91 227 6.68 80 -44.83 "B" "Instytut Biotechnologii Przemyslu Rolno-Spozywczego"
"Instytut Ekologii Terenów Uprzemyslowionych" "Instytut Ekologii Terenów Uprzemyslowionych" 16.43 308 15.84 78.5 -48.17 "B" "Instytut Ekologii Terenów Uprzemyslowionych"
"Panstwowy Instytut Geologiczny - Panstwowy Instytut Badawczy" "Panstwowy Instytut Geologiczny - Panstwowy Instytut Badawczy" 22.88 388 9.04 95 6.3 "B" "Panstwowy Instytut Geologiczny - Panstwowy Instytut Badawczy"
"Instytut BioInfoBank" "Instytut BioInfoBank" 80 210 35 5 70 "A" "Instytut BioInfoBank"
"Fundacja Rozwoju Kardiochirurgii im. prof. Zbigniewa Religi" "Fundacja Rozwoju Kardiochirurgii im. prof. Zbigniewa Religi" 29.37 220 15.62 65 -15 "B" "Fundacja Rozwoju Kardiochirurgii im. prof. Zbigniewa Religi"
